Gray Value,Count
0,1843
1,0
2,14
3,35
4,53
5,65
6,46
7,69
8,48
9,56
10,44
11,53
12,48
13,59
14,67
15,69
16,39
17,88
18,77
19,90
20,81
21,102
22,89
23,97
24,94
25,121
26,133
27,98
28,124
29,120
30,134
31,113
32,147
33,164
34,189
35,161
36,211
37,199
38,228
39,231
40,261
41,322
42,280
43,332
44,313
45,315
46,356
47,412
48,451
49,464
50,506
51,457
52,476
53,470
54,618
55,609
56,715
57,669
58,650
59,641
60,778
61,861
62,920
63,818
64,854
65,904
66,720
67,941
68,994
69,945
70,1004
71,1071
72,882
73,831
74,947
75,971
76,943
77,1017
78,1009
79,896
80,923
81,972
82,1056
83,922
84,873
85,762
86,737
87,648
88,681
89,620
90,660
91,583
92,556
93,418
94,436
95,512
96,509
97,500
98,449
99,400
100,355
101,447
102,422
103,438
104,383
105,327
106,338
107,305
108,345
109,288
110,286
111,288
112,325
113,208
114,238
115,223
116,248
117,219
118,241
119,196
120,215
121,163
122,211
123,199
124,210
125,213
126,188
127,170
128,154
129,183
130,200
131,217
132,216
133,198
134,178
135,189
136,216
137,244
138,223
139,228
140,229
141,208
142,235
143,245
144,294
145,272
146,299
147,329
148,276
149,319
150,326
151,362
152,357
153,399
154,439
155,359
156,381
157,447
158,424
159,449
160,470
161,455
162,433
163,470
164,509
165,568
166,557
167,545
168,597
169,552
170,495
171,642
172,668
173,692
174,695
175,762
176,1755
177,1238
178,1151
179,1625
180,1565
181,1355
182,1633
183,1562
184,1714
185,1865
186,1477
187,1901
188,2491
189,4098
190,4382
191,6264
192,4706
193,4973
194,5327
195,2993
196,3299
197,3557
198,3277
199,2454
200,2111
201,1827
202,2197
203,1922
204,2817
205,2575
206,2045
207,2031
208,2035
209,1295
210,2092
211,3694
212,4808
213,1351
214,2168
215,1204
216,1189
217,683
218,570
219,395
220,278
221,212
222,230
223,184
224,191
225,167
226,160
227,165
228,124
229,135
230,127
231,159
232,115
233,84
234,80
235,66
236,62
237,59
238,52
239,46
240,36
241,41
242,41
243,33
244,23
245,24
246,21
247,20
248,14
249,13
250,12
251,9
252,11
253,11
254,11
